#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	326	13.231	400
13.255	326	13.281	399
13.307	326	13.332	399
13.357	326	13.382	399
13.408	326	13.434	400
13.458	325	13.484	400
13.509	326	13.535	403
13.560	325	13.585	401
13.611	325	13.636	403
13.661	324	13.687	402
13.712	326	13.738	402
13.762	325	13.788	399
13.813	325	13.839	397
13.864	326	13.889	396
13.915	325	13.940	394
13.966	324	13.991	393
14.016	321	14.042	392
14.067	322	14.092	391
14.118	321	14.143	390
14.169	321	14.193	392
14.219	322	14.245	393
14.270	322	14.295	393
14.320	322	14.346	394
14.372	325	14.396	391
14.422	322	14.447	393
14.473	323	14.498	394
14.523	322	14.549	394
14.574	324	14.599	395
14.624	323	14.650	396
14.676	322	14.700	397
14.726	324	14.751	396
14.777	321	14.802	397
14.827	323	14.853	397
14.878	322	14.903	396
14.929	322	14.954	396
14.980	324	15.004	396
15.030	323	15.056	395
15.081	324	15.106	396
15.131	324	15.157	397
15.183	324	15.207	397
15.233	325	15.258	400
15.284	324	15.309	401
15.334	323	15.360	403
15.385	323	15.410	405
15.435	322	15.461	405
15.487	322	15.511	406
15.537	320	15.562	404
15.588	318	15.613	407
15.638	317	15.664	410
15.689	318	15.714	409
15.740	319	15.765	409
15.791	321	15.815	412
15.841	322	15.867	412
15.892	322	15.917	413
15.942	323	15.968	412
15.994	325	16.018	413
16.044	323	16.069	410
16.095	323	16.120	411
16.145	324	16.171	411
16.196	321	16.221	412
16.247	323	16.272	413
16.298	323	16.322	413
16.348	323	16.373	414
16.399	323	16.424	414
16.449	323	16.475	412
16.500	323	16.525	411
16.551	325	16.576	411
16.602	325	16.626	411
16.652	327	16.678	411
16.703	325	16.728	411
16.753	326	16.779	411
16.805	327	16.829	412
16.855	329	16.880	413
16.906	329	16.931	414
16.956	330	16.982	415
17.007	327	17.033	412
17.058	327	17.083	415
17.109	328	17.134	414
17.159	327	17.184	412
17.210	327	17.236	413
17.260	326	17.286	413
17.311	328	17.337	414
17.362	325	17.387	413
17.413	329	17.438	418
17.463	339	17.489	429
17.514	355	17.540	443
17.564	377	17.590	461
17.616	402	17.641	481
17.666	430	17.691	503
17.717	461	17.743	526
17.767	492	17.793	547
17.818	522	17.844	568
17.869	551	17.894	587
17.920	574	17.945	600
17.970	591	17.995	610
18.021	602	18.047	615
18.071	606	18.097	615
18.122	603	18.148	610
18.173	592	18.198	601
18.224	575	18.249	587
18.274	552	18.300	568
18.325	526	18.351	548
18.375	496	18.401	526
18.427	465	18.452	503
18.477	433	18.502	481
18.528	403	18.554	460
18.578	377	18.604	442
18.629	355	18.655	429
18.680	340	18.705	419
18.731	331	18.756	414
18.781	328	18.807	415
18.832	332	18.858	420
18.882	344	18.908	430
18.933	360	18.959	445
18.984	382	19.009	462
19.035	409	19.060	483
19.085	440	19.111	505
19.136	469	19.162	527
19.186	500	19.212	548
19.238	529	19.263	569
19.288	555	19.313	585
19.339	574	19.365	599
19.389	590	19.415	608
19.440	599	19.466	613
19.491	601	19.516	613
19.542	596	19.567	609
19.592	584	19.618	599
19.643	567	19.669	585
19.693	544	19.719	568
19.744	518	19.770	548
19.795	489	19.820	525
19.846	459	19.871	505
19.896	429	19.922	482
19.947	401	19.973	462
19.997	377	20.023	445
20.049	357	20.074	431
20.099	342	20.124	422
20.150	334	20.176	417
20.200	333	20.226	416
20.251	338	20.277	422
20.302	349	20.327	431
20.353	365	20.378	445
20.403	387	20.429	462
20.454	414	20.480	482
20.504	442	20.530	503
20.555	472	20.581	526
20.606	502	20.631	548
20.657	530	20.682	568
20.707	554	20.733	585
20.758	575	20.784	599
20.808	588	20.834	608
20.860	596	20.885	613
20.910	598	20.935	613
20.961	592	20.987	608
21.011	580	21.037	599
21.062	562	21.088	586
21.113	538	21.138	567
21.164	512	21.189	548
21.214	483	21.240	525
21.265	454	21.291	503
21.315	424	21.341	482
21.367	398	21.392	462
21.417	374	21.442	445
21.468	355	21.493	431
21.518	343	21.544	422
21.569	336	21.595	417
21.619	336	21.645	417
21.671	342	21.696	423
21.721	355	21.746	432
21.772	372	21.798	446
21.822	395	21.848	464
21.873	421	21.899	483
21.924	450	21.949	505
21.975	480	22.000	527
22.025	507	22.051	549
22.076	533	22.102	569
22.126	556	22.152	585
22.178	574	22.203	599
22.228	586	22.253	608
22.279	592	22.304	613
22.329	592	22.355	613
22.380	585	22.406	607
22.430	572	22.456	597
22.482	555	22.507	584
22.532	531	22.557	566
22.583	505	22.609	546
22.633	477	22.659	525
22.684	449	22.710	503
22.735	421	22.760	481
22.786	397	22.811	461
22.836	374	22.862	445
22.887	357	22.913	431
22.937	346	22.963	422
22.989	341	23.014	417
23.039	342	23.064	417
23.090	349	23.115	422
23.140	362	23.166	432
23.191	379	23.217	447
23.241	401	23.267	464
23.293	426	23.318	484
23.343	453	23.368	506
23.394	482	23.420	528
23.444	508	23.470	550
23.495	534	23.521	569
23.546	555	23.571	587
23.597	572	23.622	599
23.647	583	23.673	608
23.698	588	23.724	612
23.748	587	23.774	612
23.800	580	23.825	607
23.850	567	23.875	597
23.901	549	23.927	583
23.951	526	23.977	565
24.002	500	24.028	545
24.052	473	24.078	523
24.104	445	24.129	501
24.154	419	24.179	480
24.205	394	24.231	460
24.255	374	24.281	443
24.306	358	24.332	430
24.357	349	24.382	421
24.408	345	24.433	416
24.458	346	24.484	417
24.509	354	24.535	423
24.559	367	24.585	433
24.611	385	24.636	448
24.661	408	24.686	466
24.712	432	24.738	486
24.762	458	24.788	507
24.813	485	24.839	529
24.863	511	24.889	551
24.915	535	24.940	571
24.965	555	24.990	588
25.016	569	25.042	600
25.066	580	25.092	609
25.117	584	25.143	613
25.168	582	25.193	612
25.219	573	25.244	606
25.269	560	25.295	596
25.320	541	25.346	582
25.370	520	25.396	564
25.422	495	25.447	543
25.472	469	25.497	521
25.523	443	25.549	499
25.573	418	25.599	478
25.624	395	25.650	458
25.674	376	25.700	442
25.726	362	25.751	429
25.776	353	25.801	420
25.827	350	25.853	416
25.877	352	25.903	417
25.928	359	25.954	423
25.980	372	26.004	434
26.030	390	26.055	449
26.081	412	26.106	467
26.131	436	26.157	487
26.182	461	26.207	509
26.233	488	26.258	531
26.284	512	26.308	553
26.334	534	26.360	573
26.385	553	26.410	590
26.435	567	26.461	602
26.487	576	26.511	611
26.537	579	26.562	614
26.588	576	26.612	613
26.638	568	26.664	606
26.689	555	26.714	595
26.739	537	26.765	580
26.791	515	26.815	561
26.841	492	26.866	541
26.892	465	26.917	519
26.942	441	26.968	496
26.993	417	27.018	475
27.044	395	27.069	455
27.095	377	27.119	440
27.145	364	27.171	427
27.196	356	27.221	419
27.246	353	27.272	416
27.298	355	27.322	417
27.348	365	27.373	424
27.399	377	27.423	436
27.449	395	27.475	451
27.500	416	27.525	469
27.550	440	27.576	490
27.602	465	27.626	513
27.652	489	27.677	535
27.703	513	27.728	557
27.753	534	27.779	575
27.804	551	27.829	592
27.855	564	27.880	603
27.906	571	27.930	612
27.956	573	27.982	614
28.007	571	28.032	612
28.057	563	28.083	605
28.109	548	28.133	594
28.159	532	28.184	579
