#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	336	13.230	505
13.256	333	13.281	524
13.306	334	13.332	541
13.357	339	13.383	558
13.407	347	13.433	573
13.459	358	13.484	584
13.509	371	13.534	594
13.560	387	13.586	598
13.610	402	13.636	602
13.661	419	13.687	598
13.712	434	13.737	592
13.763	448	13.788	583
13.813	460	13.838	571
13.864	469	13.890	556
13.914	474	13.940	540
13.965	476	13.991	523
14.016	474	14.041	507
14.067	467	14.092	492
14.117	458	14.143	478
14.168	445	14.194	467
14.218	430	14.244	459
14.270	413	14.295	456
14.320	396	14.345	456
14.371	379	14.397	459
14.421	363	14.447	466
14.472	348	14.498	475
14.523	337	14.548	488
14.574	329	14.599	502
14.624	325	14.649	517
14.675	324	14.701	533
14.725	328	14.751	548
14.776	336	14.802	562
14.827	347	14.852	575
14.878	361	14.903	583
14.929	377	14.954	589
14.979	396	15.005	592
15.030	414	15.055	591
15.081	432	15.106	587
15.132	449	15.156	579
15.182	463	15.208	569
15.233	474	15.258	557
15.283	481	15.309	544
15.335	484	15.359	529
15.385	483	15.410	514
15.436	478	15.460	501
15.486	469	15.512	488
15.537	456	15.562	479
15.587	440	15.613	471
15.639	422	15.663	466
15.689	403	15.714	464
15.740	383	15.765	466
15.790	365	15.816	471
15.841	348	15.866	479
15.892	335	15.917	489
15.943	324	15.967	500
15.993	319	16.019	514
16.044	317	16.069	526
16.094	319	16.120	541
16.146	326	16.170	552
16.196	337	16.221	563
16.247	351	16.272	572
16.297	369	16.323	578
16.348	387	16.373	582
16.398	408	16.424	582
16.450	427	16.474	580
16.500	447	16.525	574
16.551	463	16.576	567
16.601	477	16.627	557
16.652	486	16.677	546
16.703	491	16.728	533
16.754	492	16.778	522
16.804	488	16.830	510
16.855	479	16.880	499
16.905	466	16.931	489
16.957	450	16.981	482
17.007	431	17.032	477
17.058	411	17.083	476
17.108	390	17.134	475
17.159	369	17.184	478
17.209	351	17.235	484
17.261	335	17.285	491
17.311	323	17.336	500
17.362	315	17.387	511
17.412	311	17.438	522
17.463	312	17.488	533
17.514	318	17.539	544
17.565	327	17.589	554
17.615	342	17.641	561
17.666	359	17.691	567
17.716	380	17.742	571
17.768	400	17.792	572
17.818	421	17.843	571
17.869	442	17.894	568
17.919	461	17.945	562
17.970	476	17.996	555
18.020	488	18.046	547
18.072	495	18.097	536
18.122	497	18.147	527
18.173	495	18.199	517
18.223	488	18.249	507
18.274	476	18.300	500
18.325	460	18.350	493
18.376	441	18.401	488
18.426	420	18.452	485
18.477	398	18.503	484
18.527	376	18.553	487
18.579	356	18.604	490
18.629	338	18.654	496
18.680	324	18.706	502
18.730	313	18.756	510
18.781	307	18.807	519
18.832	307	18.857	527
18.883	311	18.908	536
18.933	320	18.958	544
18.984	333	19.010	550
19.034	350	19.060	556
19.085	370	19.111	560
19.136	392	19.161	562
19.187	414	19.212	562
19.237	436	19.263	559
19.288	457	19.314	555
19.338	474	19.364	551
19.390	488	19.415	544
19.440	497	19.465	537
19.491	501	19.517	530
19.541	500	19.567	523
19.592	494	19.618	515
19.643	483	19.668	509
19.694	469	19.719	504
19.744	451	19.769	499
19.795	429	19.821	497
19.845	407	19.871	495
19.896	384	19.922	496
19.947	362	19.972	498
19.998	343	20.023	502
20.048	326	20.074	506
20.099	314	20.125	511
20.149	306	20.175	517
20.201	304	20.226	524
20.251	306	20.276	530
20.302	314	20.328	536
20.352	326	20.378	540
20.403	342	20.429	545
20.454	362	20.479	548
20.505	383	20.530	550
20.555	406	20.580	551
20.606	430	20.632	550
20.656	451	20.682	548
20.707	470	20.733	545
