#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 11:24:22 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	499	13.230	565
13.256	499	13.282	548
13.306	499	13.332	531
13.357	499	13.383	514
13.407	499	13.433	499
13.459	499	13.484	485
13.509	499	13.534	474
13.560	499	13.586	467
13.610	498	13.636	463
13.661	498	13.687	463
13.712	498	13.737	466
13.763	498	13.788	474
13.813	498	13.839	484
13.864	498	13.890	498
13.914	498	13.940	513
13.966	498	13.991	530
14.016	498	14.041	547
14.067	499	14.093	564
14.117	499	14.143	580
14.168	499	14.194	593
14.218	499	14.244	604
14.270	499	14.295	611
14.320	499	14.345	614
14.371	499	14.397	614
14.421	499	14.447	610
14.472	499	14.498	602
14.523	499	14.548	592
14.574	499	14.599	578
14.624	499	14.650	563
14.675	499	14.701	546
14.725	499	14.751	529
14.777	499	14.802	512
14.827	499	14.852	498
14.878	499	14.904	484
14.928	499	14.954	474
14.979	498	15.005	467
15.029	498	15.055	464
15.081	499	15.106	465
15.131	499	15.156	468
15.182	499	15.208	476
15.232	498	15.258	487
15.283	499	15.309	500
15.334	499	15.359	516
15.385	498	15.410	533
15.435	498	15.461	549
15.486	499	15.512	566
15.536	498	15.562	581
15.588	499	15.613	593
15.638	499	15.663	604
15.689	499	15.715	610
15.739	500	15.765	613
15.790	499	15.816	613
15.841	499	15.866	608
15.892	500	15.917	600
15.942	500	15.967	589
15.993	499	16.019	576
16.043	499	16.069	561
16.094	499	16.120	544
16.145	499	16.170	527
16.196	499	16.221	512
16.246	498	16.272	496
16.297	498	16.323	484
16.347	498	16.373	474
16.399	499	16.424	468
16.449	498	16.474	465
16.500	498	16.526	466
16.550	499	16.576	471
16.601	499	16.627	478
16.652	499	16.677	490
16.703	499	16.728	504
16.753	499	16.778	519
16.804	499	16.830	535
16.854	499	16.880	552
16.905	499	16.931	568
16.956	499	16.981	582
17.007	500	17.032	594
17.058	499	17.083	603
17.108	499	17.134	610
17.159	499	17.184	612
17.210	499	17.235	611
17.261	499	17.285	606
17.311	499	17.337	598
17.362	499	17.387	587
17.412	499	17.438	574
17.464	499	17.488	558
17.514	500	17.539	542
17.565	500	17.589	526
17.615	500	17.641	510
17.666	499	17.691	495
17.716	499	17.742	484
17.768	499	17.792	475
17.818	498	17.843	468
17.869	498	17.894	466
17.919	498	17.945	467
17.970	498	17.995	472
18.021	498	18.046	480
18.072	499	18.096	492
18.122	498	18.148	505
18.173	499	18.198	521
18.223	499	18.249	537
18.275	500	18.299	554
18.325	500	18.350	570
18.376	500	18.401	582
18.426	500	18.452	594
18.477	500	18.502	604
18.527	500	18.553	609
18.579	500	18.603	611
18.629	499	18.654	610
18.680	499	18.705	605
18.730	498	18.756	596
18.781	498	18.806	584
18.832	499	18.857	571
18.883	499	18.907	556
18.933	499	18.959	540
18.984	499	19.009	524
19.034	500	19.060	509
19.086	499	19.110	495
19.136	499	19.161	484
19.187	499	19.212	475
19.237	499	19.263	470
19.288	499	19.313	468
19.338	498	19.364	469
19.390	498	19.414	475
19.440	499	19.465	483
19.491	499	19.516	494
19.541	498	19.567	508
19.592	498	19.617	523
19.643	499	19.668	539
19.694	500	19.718	555
19.744	499	19.770	570
19.795	499	19.820	583
19.845	500	19.871	595
19.897	500	19.921	603
19.947	500	19.972	608
19.998	500	20.023	610
20.048	501	20.074	608
20.099	500	20.125	602
20.149	499	20.175	594
20.201	499	20.226	583
20.251	498	20.276	569
20.302	498	20.328	554
20.352	498	20.378	538
20.403	498	20.429	521
20.454	498	20.479	507
20.505	498	20.530	494
20.555	499	20.581	484
20.606	499	20.632	475
20.656	499	20.682	469
20.708	500	20.733	469
20.758	500	20.783	471
20.809	499	20.835	477
20.859	500	20.885	485
20.910	500	20.936	497
20.961	499	20.986	510
21.012	499	21.037	525
21.062	499	21.087	540
21.113	499	21.139	557
21.163	499	21.189	572
21.214	499	21.240	584
21.265	499	21.290	594
21.316	499	21.341	603
21.366	499	21.392	607
21.417	500	21.443	608
21.467	500	21.493	606
21.519	500	21.544	600
21.569	500	21.594	592
21.620	500	21.646	580
21.670	499	21.696	566
21.721	500	21.747	553
21.772	499	21.797	536
21.823	499	21.848	521
21.873	499	21.898	507
21.924	498	21.950	494
21.974	498	22.000	484
22.025	499	22.051	476
22.076	498	22.101	471
22.127	498	22.152	470
22.177	499	22.203	473
22.228	499	22.254	479
22.278	499	22.304	487
22.330	500	22.355	499
22.380	499	22.405	512
22.431	500	22.457	527
22.481	500	22.507	543
22.532	500	22.558	558
22.583	499	22.608	573
22.634	499	22.659	585
22.684	499	22.709	595
22.735	498	22.761	602
22.785	499	22.811	607
22.836	498	22.862	607
22.887	498	22.912	603
22.938	498	22.963	598
22.988	499	23.014	589
23.039	499	23.065	578
23.089	499	23.115	564
23.141	500	23.166	550
23.191	500	23.216	535
23.242	500	23.268	520
23.292	501	23.318	506
23.343	500	23.369	493
23.394	500	23.419	483
23.445	500	23.470	477
23.495	499	23.521	473
23.546	499	23.572	472
23.596	499	23.622	475
23.647	499	23.673	481
23.698	498	23.723	489
23.749	498	23.774	502
23.800	499	23.825	515
23.850	498	23.876	529
23.901	499	23.926	544
23.952	500	23.977	559
24.003	499	24.027	573
24.053	500	24.079	585
24.104	500	24.129	595
24.154	500	24.180	602
24.206	500	24.230	605
24.256	499	24.281	605
24.307	499	24.332	603
24.357	499	24.383	596
24.408	499	24.433	587
24.458	499	24.484	576
24.510	499	24.534	562
24.560	499	24.585	548
24.611	499	24.636	533
24.661	500	24.687	518
24.712	500	24.737	504
24.763	500	24.788	493
24.814	501	24.838	484
24.864	500	24.890	477
24.915	500	24.940	474
24.965	500	24.991	474
25.017	500	25.041	477
25.067	499	25.092	483
25.118	499	25.143	492
25.168	499	25.194	505
25.219	498	25.244	517
25.269	498	25.295	531
25.321	498	25.345	547
25.371	498	25.396	561
25.422	498	25.447	574
25.472	499	25.498	586
25.523	499	25.548	595
25.574	500	25.599	601
25.625	500	25.649	604
25.675	500	25.701	604
25.726	500	25.751	600
25.776	500	25.802	594
25.828	501	25.852	585
25.878	500	25.903	574
25.929	500	25.954	560
25.979	500	26.005	546
26.030	499	26.055	531
26.081	500	26.106	517
26.132	499	26.156	504
26.182	499	26.207	492
26.233	500	26.258	484
26.283	499	26.309	478
26.334	499	26.359	475
26.385	499	26.410	474
26.436	499	26.460	478
26.486	499	26.512	485
26.537	499	26.562	494
26.587	499	26.613	506
26.639	499	26.663	519
26.689	499	26.714	533
26.740	499	26.765	548
26.790	499	26.816	562
26.841	499	26.867	575
26.892	499	26.917	586
26.943	498	26.968	594
26.993	499	27.018	600
27.044	499	27.070	603
27.094	499	27.120	602
27.145	500	27.171	598
27.196	501	27.221	592
27.247	501	27.272	583
27.297	501	27.323	571
27.348	501	27.374	558
27.398	501	27.424	544
27.450	501	27.475	529
27.500	500	27.525	516
27.551	499	27.577	503
27.601	499	27.627	492
27.652	499	27.678	484
27.703	498	27.728	478
27.754	498	27.779	476
27.804	498	27.829	476
27.855	498	27.881	480
27.905	498	27.931	487
27.956	499	27.982	497
28.007	499	28.032	508
28.058	499	28.083	521
28.108	500	28.134	536
28.159	499	28.185	550
28.209	499	28.235	563
28.261	500	28.286	576
28.311	499	28.336	586
28.362	500	28.388	594
28.412	500	28.438	600
28.463	499	28.489	601
28.514	499	28.539	601
28.565	500	28.590	598
28.615	500	28.641	590
28.666	499	28.692	581
28.716	500	28.742	569
28.767	500	28.793	557
28.818	500	28.843	542
28.869	499	28.894	528
28.919	500	28.945	514
28.970	499	28.996	503
29.020	499	29.046	493
29.072	499	29.097	484
29.122	498	29.147	479
29.173	499	29.199	477
29.223	499	29.249	479
29.274	498	29.300	482
29.325	498	29.350	490
29.376	499	29.401	499
29.426	499	29.452	511
29.477	499	29.503	524
29.527	499	29.553	538
29.578	499	29.604	551
29.629	500	29.654	564
29.680	500	29.705	576
29.730	500	29.756	586
29.781	500	29.807	593
29.831	501	29.857	600
29.883	500	29.908	601
29.933	499	29.958	599
29.984	500	30.010	595
30.034	500	30.060	588
30.085	500	30.111	579
30.136	500	30.161	567
30.187	500	30.212	554
30.237	499	30.263	540
30.288	499	30.314	527
30.338	499	30.364	514
30.389	500	30.415	502
30.440	499	30.465	492
30.491	499	30.516	485
30.541	499	30.567	480
30.592	499	30.618	478
30.642	500	30.668	480
30.694	499	30.719	484
30.744	499	30.769	492
30.795	499	30.821	501
30.845	499	30.871	512
30.896	499	30.922	526
30.947	499	30.972	539
30.998	499	31.023	553
31.048	500	31.074	565
31.099	500	31.125	578
31.149	500	31.175	587
31.201	500	31.226	593
31.251	500	31.276	598
31.302	500	31.327	600
31.352	500	31.378	598
31.403	500	31.429	594
31.453	501	31.479	586
31.505	500	31.530	576
31.555	500	31.580	565
31.606	499	31.632	552
31.656	499	31.682	538
31.707	499	31.733	525
31.758	500	31.783	513
31.809	499	31.834	501
31.859	499	31.885	492
31.910	500	31.936	485
31.960	499	31.986	481
32.012	499	32.037	479
32.062	499	32.087	482
32.113	499	32.138	486
32.163	499	32.189	493
32.214	500	32.240	503
32.264	500	32.290	515
32.316	500	32.341	528
32.366	500	32.391	541
32.417	500	32.443	554
32.467	500	32.493	567
32.518	500	32.544	577
32.569	500	32.594	587
32.620	500	32.645	593
32.670	500	32.696	597
32.721	500	32.747	598
32.771	500	32.797	596
32.823	500	32.848	592
32.873	500	32.898	584
32.924	500	32.949	574
32.974	499	33.000	563
33.025	500	33.051	550
33.075	500	33.101	537
33.127	500	33.152	525
33.177	500	33.202	512
33.228	500	33.254	501
33.278	499	33.304	492
33.329	500	33.355	485
33.380	499	33.405	481
33.431	499	33.456	481
33.481	500	33.507	483
33.532	499	33.558	488
33.582	499	33.608	496
33.634	500	33.659	505
33.684	500	33.709	516
33.735	500	33.761	529
33.785	500	33.811	543
33.836	500	33.862	555
33.886	501	33.912	567
33.938	500	33.963	578
33.988	501	34.013	587
34.039	500	34.065	593
34.089	500	34.115	596
34.140	500	34.166	597
34.191	500	34.216	595
34.242	500	34.267	590
34.292	499	34.318	582
34.343	500	34.369	573
34.393	499	34.419	561
34.445	500	34.470	548
34.495	500	34.520	536
34.546	500	34.572	523
34.596	500	34.622	511
34.647	500	34.673	501
34.697	500	34.723	492
34.749	499	34.774	486
34.799	500	34.824	482
34.850	499	34.876	482
34.900	499	34.926	485
34.951	499	34.977	490
35.002	499	35.027	498
35.053	499	35.078	507
35.103	500	35.129	519
35.154	500	35.180	531
35.204	500	35.230	544
35.256	500	35.281	557
35.306	500	35.331	568
35.357	500	35.383	578
35.407	500	35.433	586
35.458	500	35.484	592
35.508	500	35.534	595
35.560	500	35.585	596
35.610	500	35.635	593
35.661	499	35.687	588
35.711	500	35.737	580
35.762	500	35.788	570
35.813	499	35.838	560
35.864	500	35.889	547
35.914	500	35.940	534
35.965	500	35.991	522
36.015	499	36.041	510
36.067	500	36.092	501
36.117	500	36.142	493
36.168	500	36.194	487
36.218	500	36.244	484
36.269	500	36.295	485
36.319	500	36.345	487
36.371	500	36.396	492
36.422	500	36.446	500
36.472	500	36.498	510
36.523	500	36.548	521
36.573	500	36.599	533
36.625	500	36.649	546
36.675	500	36.700	558
36.726	500	36.751	569
36.776	500	36.802	579
36.827	500	36.852	587
36.878	500	36.903	592
36.929	500	36.953	594
36.979	500	37.005	594
37.030	500	37.055	591
37.080	500	37.106	586
37.132	500	37.156	578
37.182	500	37.207	568
37.233	500	37.257	557
37.283	500	37.309	545
37.334	500	37.359	533
37.384	500	37.410	520
37.436	500	37.460	510
37.486	500	37.511	501
37.537	500	37.562	492
37.587	500	37.613	488
37.638	500	37.663	485
37.689	500	37.714	485
37.740	500	37.764	489
37.790	500	37.816	494
37.841	500	37.866	502
37.891	499	37.917	511
37.943	500	37.967	523
37.993	500	38.018	535
38.044	500	38.068	547
38.094	500	38.120	559
38.145	500	38.170	570
38.195	500	38.221	580
38.247	500	38.271	586
38.297	500	38.322	591
38.348	500	38.373	593
38.398	500	38.424	592
38.449	500	38.474	590
38.500	500	38.525	584
38.551	500	38.575	576
38.601	500	38.627	566
38.652	500	38.677	555
38.702	500	38.728	543
38.754	500	38.778	531
38.804	500	38.829	520
38.855	500	38.879	509
38.905	500	38.931	500
38.956	500	38.981	493
