#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	507	13.230	576
13.255	507	13.281	573
13.306	506	13.331	565
13.357	507	13.382	556
13.408	507	13.432	543
13.458	507	13.484	529
13.509	506	13.534	515
13.559	507	13.585	499
13.611	507	13.635	485
13.661	507	13.686	471
13.712	506	13.737	459
13.762	507	13.788	450
13.813	506	13.838	444
13.864	506	13.889	440
13.915	507	13.939	438
13.965	507	13.990	443
14.016	506	14.041	450
14.066	506	14.092	459
14.117	507	14.142	471
14.168	507	14.193	484
14.219	507	14.243	499
14.269	508	14.295	514
14.320	508	14.345	529
14.370	507	14.396	542
14.422	508	14.446	554
14.472	507	14.497	563
14.523	507	14.548	570
14.573	507	14.599	573
14.624	507	14.650	573
14.675	507	14.700	569
14.726	507	14.751	562
14.776	507	14.801	553
14.827	507	14.853	541
14.877	507	14.903	528
14.928	507	14.954	513
14.979	507	15.004	499
15.030	507	15.055	484
15.080	506	15.106	472
15.131	507	15.157	460
15.181	507	15.207	451
15.233	506	15.258	445
15.283	506	15.308	442
15.334	506	15.360	442
15.384	507	15.410	445
15.435	507	15.461	452
15.486	507	15.511	461
15.537	506	15.562	473
15.587	507	15.612	485
15.638	507	15.664	499
15.688	507	15.714	514
15.739	507	15.765	528
15.790	506	15.815	541
15.841	507	15.866	553
15.891	507	15.917	562
15.942	507	15.968	568
15.992	507	16.018	571
16.044	507	16.069	571
16.094	506	16.119	566
16.145	507	16.171	561
16.195	507	16.221	550
16.246	506	16.272	540
16.297	507	16.322	527
16.348	506	16.373	513
16.398	507	16.424	498
16.449	506	16.475	484
16.499	506	16.525	472
16.550	506	16.576	461
16.601	507	16.626	453
16.652	506	16.677	447
16.702	507	16.728	443
16.753	507	16.779	444
16.803	506	16.829	447
16.855	507	16.880	454
16.905	506	16.930	464
16.956	507	16.982	475
17.006	507	17.032	487
17.057	506	17.083	501
17.108	507	17.133	515
17.159	507	17.184	528
17.209	507	17.235	541
17.260	507	17.286	552
17.310	507	17.336	560
17.361	507	17.387	566
17.412	507	17.437	569
17.463	507	17.488	569
17.513	507	17.539	565
17.564	507	17.590	559
17.614	507	17.640	549
17.666	507	17.691	538
17.716	507	17.741	525
17.767	507	17.793	512
17.817	507	17.843	498
17.868	507	17.894	484
17.919	506	17.944	473
17.970	506	17.995	463
18.020	507	18.046	455
18.071	506	18.097	449
18.121	506	18.147	446
18.172	506	18.198	446
18.223	507	18.248	450
18.274	506	18.299	456
18.324	507	18.350	466
18.375	507	18.401	476
18.425	507	18.451	489
18.477	507	18.502	501
18.527	506	18.552	515
18.578	506	18.604	528
18.628	507	18.654	540
18.679	508	18.705	551
18.730	507	18.755	559
18.781	507	18.806	565
18.831	507	18.857	567
18.882	507	18.908	566
18.932	507	18.958	563
18.984	507	19.009	556
19.034	507	19.059	547
19.085	507	19.110	536
19.135	507	19.161	524
19.186	507	19.212	511
19.236	507	19.262	497
19.288	507	19.313	485
19.338	507	19.363	474
19.389	506	19.415	463
19.439	507	19.465	456
